X	Y
37.04257267	4.489543961
27.63577141	-24.72254391
4.686161428	-5.303499395
61.38262598	64.8644592
0.479509363	12.12825739
0.94789924	22.38277323
1.063458879	8.919515659
60.00444172	55.53368896
10.41167133	-30.25645912
0.274511306	39.81469981
0.936864682	6.829022972
5.796978418	-19.12223683
1.283791036	22.74975207
26.50880083	-15.86236129
30.82584044	-12.71780615
54.92366904	46.60040626
1.744686882	-8.021124819
0.156929351	93.79616404
125.9863837	243.2026212
6.485727225	-11.37077181
4.576560282	-4.716826255
1.544798953	7.19849356
105.368161	183.4170853
1.068380878	-16.93037374
18.33624719	-53.59237314
8.296077187	-29.39506418
3.043008681	2.083937496
2.583170379	-8.872520418
5.175167371	-9.851417889
1.184463399	-2.870751229
0.387251872	10.12170646
6.389134962	-27.98130175
73.76941838	98.97590029
0.583945674	-1.870410094
61.34639801	67.98010092
0.14915967	108.2509388
7.776659016	-26.77060828
3.269299985	-7.533442819
0.269330277	32.90114046
0.403054972	26.63013281
0.603235091	2.367560503
2.81943203	-7.127921859
0.31727363	35.04498436
9.223123267	-14.79695561
19.56229571	-24.17258917
0.24700213	26.15752379
0.446886244	17.51295434
1.168323044	2.255890911
0.144384443	88.9355394
4.418759088	-7.596629
21.79546832	-15.96463222
67.12469113	85.00837425
4.140648934	-16.07409799
0.5048818	7.908047529
7.616995789	-38.64092663
1.421841789	-2.298702365
8.330373243	-28.46136246
128.3186198	273.826446
18.42752704	-31.9523882
1.29006293	-2.49936083
0.144971436	101.8635239
5.311851724	-8.972720576
9.259614689	-24.41667294
0.43316928	25.50183517
35.66713717	-5.274691494
0.254973679	38.41975883
3.94975333	-4.374350815
6.970309234	-27.12961694
0.246751311	30.69664601
0.139702986	98.00025963
1.196145534	6.848805862
0.807421183	8.025742207
0.231286404	44.88758773
4.692213589	10.51659372
8.144983852	-22.63040143
1.785213853	9.00309561
8.289991843	-28.75218517
1.257763808	1.823237063
0.144716333	99.01998555
0.169922156	86.2225882
1.454728085	-4.920247445
1.165528509	8.185166928
19.54841381	-38.13790801
137.8766265	284.6007615
40.6451087	-1.464995851
18.68109785	-36.97790858
6.10752018	-21.10835646
0.523158677	8.515343613
21.5736672	-28.32395793
0.64009356	5.463847159
130.0424893	251.5597854
0.286935974	25.49178154
20.8991837	-22.94695046
79.42035862	115.0530787
21.79697226	-40.7963295
0.167898158	81.00033954
0.602785208	13.27518587
1.319631435	0.519950945
1.652406746	0.095739499
3.005828783	-4.312916517
71.12723109	95.18023995
1.234088031	-0.883144992
1.316066958	8.234200841
3.020470484	5.706364676
6.617060649	-17.11317861
0.143296069	103.1374269
9.991688159	-24.43861871
3.251294856	1.213012701
24.16179724	-23.42735137
1.138424648	-1.683805179
0.221403762	52.58975046
0.841073521	14.732777
0.151571063	83.93074271
0.24069766	50.62740227
0.252680735	42.398424
0.396697986	21.76375543
1.076364543	9.546483038
0.449792733	12.41669326
1.720475015	3.808264661
0.31976071	25.56967518
0.241661703	33.0708832
50.5862157	29.55812855
0.140910205	109.4667295
15.78822367	-38.02350961
0.50424818	10.95051773
5.547497147	-20.95460118
15.89047469	-37.1962208
0.707407582	4.161498305
11.30971429	-31.04315164
5.239307015	-18.06917066
0.215233088	46.73937092
32.29131737	-9.505764322
69.46960156	89.64128894
0.622845878	3.502922414
5.195924583	-7.995771436
62.0282527	77.50320318
0.350202919	15.31749004
77.27434863	104.0117968
1.772612791	2.944694231
7.799040953	-20.42282714
115.5526041	212.1650798
6.078522367	-27.48878981
0.750239309	9.161126071
4.36761556	-19.1996101
0.309142405	21.65877125
5.838033845	-8.234029578
7.052432765	-21.41321443
1.172225329	14.0722441
