"","log_return"
"1",-0.00528683192553845
"2",0.00595164836279388
"3",0.0119115168989628
"4",-0.000670476812450406
"5",0.0428667978819009
"6",0
"7",-0.0216630766515427
"8",-0.00604676460383992
"9",-0.00184800399298008
"10",-0.0198014831137467
"11",-0.0241682160091574
"12",0.0722301440350335
"13",0.00942996982638955
"14",0.000606129686665168
"15",0.010137844794928
"16",0.0154058482218069
"17",-0.00320190251284496
"18",-0.0128138011382485
"19",-0.00700253927057006
"20",-0.0156540983172025
"21",0.0131286482221313
"22",0.00830694765814462
"23",-0.0101193939384211
"24",0.0124918801008021
"25",-0.00255099056494477
"26",-0.028828107064333
"27",-0.0153255278818541
"28",-0.00428135210549395
"29",0.00243023120499219
"30",0.00918872063779822
"31",-0.0091887206377983
"32",-0.00184770058236106
"33",-0.000582530622631059
"34",0
"35",0.00486638282459117
"36",-0.024098499048327
"37",-0.00475078686389611
"38",0.0113420431266758
"39",0.0235742566126751
"40",-0.00245095855865115
"41",0.00127177281325747
"42",0.0298541036482729
"43",0.0062821729300368
"44",0.0244881982208232
"45",-0.0168351933243069
"46",-0.0164573449342562
"47",-0.00942701818159102
"48",0.00560508084741175
"49",-0.0136573301253682
"50",0.00188322181604976
"51",-0.0081020854756306
"52",-0.0122226155427768
"53",0.00858881012133527
"54",0.00363380542144153
"55",-0.0182331502979826
"56",-0.0244318110686894
"57",0.00880708618979501
"58",0.008982055132455
"59",0.0109032841529567
"60",-0.00850084459162707
"61",-0.00422462516915897
"62",-0.0148351987221559
"63",0.0124428750538539
"64",-0.013574632046119
"65",0.013001508322825
"66",0.00239095132373192
"67",-0.0160528137741342
"68",0.0166273098419981
"69",-0.0159669557144208
"70",-0.0341993680804791
"71",0.0171858799482797
"72",0.000647414092856703
"73",-0.0161003430403009
"74",-0.0747214438259349
"75",0.0262617063229383
"76",-0.0209964235495285
"77",0.00110793142976828
"78",0.0150307188865759
"79",-0.00216112711560667
"80",0.00371953660692115
"81",-0.00268518420269583
"82",-0.0117704811786094
"83",0.000512545063930709
"84",-0.00537070520938637
"85",-0.00288815041525148
"86",0.00741637055146366
"87",-0.0263440245150916
"88",0.00576621953923499
"89",-0.00159248477271828
"90",-0.0135473974364668
"91",-0.0394168816337414
"92",0.00844795324991233
"93",0.00200313968842643
"94",-0.000961777577183424
"95",0.0100646590663352
"96",-0.000563857887877366
"97",0.0137625171802368
"98",0.00567421828034751
"99",0.0108647398226623
"100",-0.00258239628229146
"101",0.0188879258714497
"102",0.00740059824031474
"103",0.013495081443531
"104",0.0135914577439387
"105",-0.0141964109199537
"106",-0.0282250700906376
"107",0
"108",-0.00159542450898896
"109",0.0153960455706097
"110",0.0128661022992475
"111",-0.00112017736141427
"112",0.0301192094246747
"113",0.0224726623292478
"114",-0.00733608345077811
"115",0.0187657802548614
"116",0.0180007282388213
"117",-0.0139471591602597
"118",-0.0335011882249534
"119",0.00223483392776164
"120",-0.0083762503185691
"121",-0.00221621322193382
"122",-0.00986853237501084
"123",-0.0087277827124878
"124",-0.0145815448450245
"125",0.013971883250738
"126",0.0120580710138125
"127",0
"128",-0.0109258438397085
"129",-0.0198884952290244
"130",-0.00908196517350078
"131",-0.0110051065733104
"132",0.00209109558230813
"133",0.0206411342493909
"134",-0.0122327488594787
"135",-0.0141663514679826
"136",-0.0133981936952952
"137",-0.0500591150552571
"138",0.00540485575377986
"139",0.0258601015906993
"140",-0.00305692749164761
"141",-0.00752719351046552
"142",-0.00294671244961414
"143",-0.0167963263751681
"144",-0.0411362640207699
"145",0
"146",0.00609867361119716
"147",0.0409202475749946
"148",-0.00830303741504157
"149",-0.011878194598041
"150",-0.00192920293035675
"151",-0.000462381753185642
"152",0.0120900964879474
"153",0.00437723308312691
"154",0.00738727758507749
"155",0.0099118720855411
"156",0
"157",-0.0270418547850912
"158",-0.00818773097500678
"159",0.0150362891040923
"160",0.00140676559642567
"161",-0.00483597723844206
"162",0.000932550257303642
"163",-0.017833061820156
"164",0.0425176202292585
"165",0.0231796603357448
"166",0.0819596726129173
"167",-0.0450058644781923
"168",-0.0214718734898319
"169",-0.00777092831076856
"170",0.0202968463435729
"171",-0.0542178876680367
"172",0.00903431744952674
"173",0.0290117101199757
"174",-0.0439980251655885
"175",-0.0205193686123664
"176",-0.00918341423024453
"177",-0.00145700396815625
"178",0.028709233548929
"179",0.0189646585267836
"180",-0.0272971944195884
"181",0
"182",-0.0341640163476845
"183",0.00904202580180879
"184",-0.020326909150731
"185",-0.00141888607313375
"186",0.0174807518629052
"187",0.0269645982877689
"188",0.0241845711723897
"189",0.00248372636656074
"190",0.0357597424307587
"191",0.00775809295483343
"192",-0.009336640919515
"193",-0.0236204206154222
"194",-0.0308839223465416
"195",-0.0281263070282356
"196",0.0217811579851718
"197",-0.0174168489983687
"198",-0.0441351925027299
"199",0.0055220798516241
"200",-0.0286767168693769
"201",0.010821692561981
"202",-0.0342903982840631
"203",0.00484718734459889
"204",0.00310268614177543
"205",-0.010120623782916
"206",-0.00960368365143082
"207",-0.0141678428702598
"208",-0.014373927499648
"209",0.000809796814243005
"210",0.000404338835004266
"211",0.00805307902065546
"212",-0.00339220281536388
"213",-0.010507046949275
"214",-0.00609085112134598
"215",-0.00955783606606012
"216",-0.026467785338825
"217",-0.0108131289492226
"218",-0.0035578590911987
"219",0.00158779492023208
"220",-0.0114308151602095
"221",0.00629928315921827
"222",-0.00592295297377116
"223",0.00472289614365601
"224",-0.00666898895528382
"225",-0.0433114808186186
"226",0.00753424132200059
"227",-0.00831362550471085
"228",-0.0196633636920678
"229",0.0298531759145296
"230",-0.0254312669256301
"231",0.0111097046390004
"232",0.024188068996089
"233",-0.00567503269658607
"234",-0.0158810367965746
"235",-0.00632907189764053
"236",-0.00705854132668832
"237",0.0254403890437013
"238",-0.0168929893477932
"239",0.0294620800088021
"240",-0.0140832947459575
"241",0.0018789969460025
"242",-0.00677036393103396
"243",-0.0322455681772726
"244",-0.0301633091834926
"245",-0.0323535033652778
